Transcript Header,Name,Designation,Corp Name
Transcript Header,Name,Designation,Corp Name
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Nishid Shah , Analyst, Ambika Fincap 
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Darshil Jhaveri , Analyst, Crown Capital 
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Ankit Kedia , Analyst, PhillipCapital 
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Pritesh Chheda , Analyst, Lucky Investment Managers 
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Shreyansh Jain , Analyst, Swan Investments 
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Jatin Sangwan , Analyst, Burman Capital 
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Dhviti Shah , Analyst, Molecule Ventures LLP 
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Nishit Rathi , Analyst, CWC Advisors 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Himanshu Upadhyay , Analyst, O3 Capital 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Siddhant , Analyst, Goodwill 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Amit Aggarwal , Analyst, Leeway Investments 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Soumen Choudhury , Analyst, Jet Age Securities Private Limited 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Kush Gangar , Analyst, Care PMS 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Varun Bang , Analyst, Bryanston Investments 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Anuj Sharma , Analyst, M3 Investment 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Jigar Upadhyay , Analyst, Antigo Consultants Private Limited 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Hadiam Patwari , Analyst, GSM Wealth Advisors 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Praveen , Analyst, Yes Securities 
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Ankit Gupta , Analyst, Bamboo Capital Partners 
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Dhwanil Desai , Analyst, Turtle Capital 
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Rajat Setiya , Analyst, ithoughtpms 
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Kiran Chheda , Analyst, Chheda Investment Consultants 
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Unidentified Participant , Analyst,  
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Rohit Nagraj , Analyst, Centrum Broking Limited 
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Rohit Ohri , Analyst, Progressive Share Brokers Pvt. Ltd. 
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Vivek Joshi , Analyst, VP Capital LLP 
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Himanshu Upadhyay , Analyst, O3 PMS 
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Praveen Agarwal , Analyst,  
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Ankit Gupta , Analyst, Bamboo Capital 
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Anuj Sharma , Analyst, Analyst 
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,V.P. Rajesh , Analyst, Banyan Capital 
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Shivam , Analyst,  
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Rahul Jain , Analyst,  
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Rishi Singhal , Analyst,  
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Darshan Shah , Analyst, Multi-Act Equity Consultancy 
Total Transport Systems Limited (TOTAL) Q4 FY23 Earnings Concall Transcript,Sudhir Bheda , Analyst, Right Time Consultancy 
Total Transport Systems Limited (TOTAL) Q4 FY23 Earnings Concall Transcript,Hiral Nandu , Analyst, Kalpavruksh Capital 
Total Transport Systems Limited (TOTAL) Q4 FY23 Earnings Concall Transcript,Nikhil Arora , Analyst,  
Total Transport Systems Limited (TOTAL) Q4 FY23 Earnings Concall Transcript,Daniel , Analyst,  
Total Transport Systems Limited (TOTAL) Q4 FY23 Earnings Concall Transcript,Rohan Mehta , Analyst,  
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Unidentified Participant , Analyst,  
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Vaibhav Badjatya , Analyst, Honesty And Integrity Investment 
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Sagar Gandhi , Analyst, Future Generali Life Insurance 
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Joe Shah , Analyst, Seven Seas 
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Saket Kapoor , Analyst, Kapoor & Co. 
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Unidentified,Analyst,
Indian Railway Catering and Tourism Corporation Ltd (IRCTC) Q4 FY23 Earnings Concall Transcript,Rahul Jain , Analyst, Dolat Capital Markets Private Limited 
Indian Railway Catering and Tourism Corporation Ltd (IRCTC) Q4 FY23 Earnings Concall Transcript,Jinesh Joshi , Analyst, Prabhudas Lilladher Private Limited 
Indian Railway Catering and Tourism Corporation Ltd (IRCTC) Q4 FY23 Earnings Concall Transcript,Rohit Bahirwani , Analyst, Vijit Global Securities Private Limited 
Indian Railway Catering and Tourism Corporation Ltd (IRCTC) Q4 FY23 Earnings Concall Transcript,Jyoti Singh , Analyst, Arihant Capital Markets Limited 
Indian Railway Catering and Tourism Corporation Ltd (IRCTC) Q4 FY23 Earnings Concall Transcript,Akshay Bhor , Analyst, Citadel 
Indian Railway Catering and Tourism Corporation Ltd (IRCTC) Q4 FY23 Earnings Concall Transcript,Rohit Jain , Analyst, Tara Capital Partners 
Indian Railway Catering and Tourism Corporation Ltd (IRCTC) Q4 FY23 Earnings Concall Transcript,Madhuchanda Dey , Analyst, Moneycontrol 
Action Construction Equipment Limited (ACE) Q4 FY23 Earnings Concall Transcript,Himanshu Upadhyay , Analyst, o3 Wealth and Asset Management 
Action Construction Equipment Limited (ACE) Q4 FY23 Earnings Concall Transcript,Vedika Singh , Analyst, Monarch Networth Capital Limited 
Action Construction Equipment Limited (ACE) Q4 FY23 Earnings Concall Transcript,Unidentified Participant , Analyst,  
Action Construction Equipment Limited (ACE) Q4 FY23 Earnings Concall Transcript,Devesh Kasliwal , Analyst, Antique Stock Broking Limited 
Action Construction Equipment Limited (ACE) Q4 FY23 Earnings Concall Transcript,Jyoti Singh , Analyst, Arihant Capital Markets Ltd. 
Action Construction Equipment Limited (ACE) Q4 FY23 Earnings Concall Transcript,Suhrid Deorah , Analyst, Paladin Capital Management LLP 
Action Construction Equipment Limited (ACE) Q4 FY23 Earnings Concall Transcript,Unidentified,Analyst,
NBCC India Ltd (NBCC) Q4 FY23 Earnings Concall Transcript,Priyankar Biswas , Analyst, Nomura 
NBCC India Ltd (NBCC) Q4 FY23 Earnings Concall Transcript,Rohit Natarajan , Analyst, Antique Stock Broking 
NBCC India Ltd (NBCC) Q4 FY23 Earnings Concall Transcript,Unidentified,Analyst,
NBCC India Ltd (NBCC) Q4 FY23 Earnings Concall Transcript,Nalin Shah , Analyst, NVS Brokerage 
NBCC India Ltd (NBCC) Q4 FY23 Earnings Concall Transcript,Vasudev Ganatra , Analyst, Nuvama Wealth 
NBCC India Ltd (NBCC) Q4 FY23 Earnings Concall Transcript,Pankaj Kumar , Analyst, Kotak Securities 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Sujit Chaudhary , Analyst, Individual Investor 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Akash Gupta , Analyst, Individual Investor 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Naresh N. , Analyst, Individual Investor 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Sudhir Bheda , Analyst, Right Time Consultancy 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Manpreet Singh , Analyst, Individual Investor 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Rohan Mehta , Analyst, Individual Investor 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Nilesh Chawla , Analyst, Shaw and Chawla LLP 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Utsav Anand , Analyst, Individual Investor 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Javed Hassan , Analyst, Individual Investor 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Vikram Vilas Suryavanshi, Analyst,PhillipCapital India Private Limited 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Mayur Liman, Analyst,Profitmart Securities 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Nirav Seksaria, Analyst,Living Root Capital 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Balamuralikrishna Junalgadh, Analyst,Oman Investment Advisors 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Shlok Dave, Analyst,CAO Capital 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Aditya Surana, Analyst,Niveshaay 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Ankur Kumar, Analyst,Alpha Capital 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Rahil Shah, Analyst,Crown Capital 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Manan Shah, Analyst,Moneybee Investment Advisors 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Narendra, Analyst,RoboCapital 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Siddarth Malhotra, Analyst,Private Investor 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Neeraj Jain, Analyst,Private Investor 
Landmark Cars Ltd (LANDMARK) Q4 FY23 Earnings Concall Transcript,Unidentified,Analyst,
Landmark Cars Ltd (LANDMARK) Q4 FY23 Earnings Concall Transcript,Unidentified,Analyst,
Landmark Cars Ltd (LANDMARK) Q4 FY23 Earnings Concall Transcript,Unidentified,Analyst,
Landmark Cars Ltd (LANDMARK) Q4 FY23 Earnings Concall Transcript,Unidentified,Analyst,
Landmark Cars Ltd (LANDMARK) Q4 FY23 Earnings Concall Transcript,Unidentified,Analyst,
Landmark Cars Ltd (LANDMARK) Q4 FY23 Earnings Concall Transcript,Unidentified,Analyst,
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Abhineet Anand, Analyst,Emkay Global 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Abhishek Jain, Analyst,Arihant Capital 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Nirav Shah, Analyst,GeeCee Investments 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Vikash Singh, Analyst,PhillipCapital 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Achal Bagaria, Analyst,Private Investor 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Abhishek Ghosh, Analyst,DSP Mutual Fund 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Ankur Agarwal, Analyst,RC Wealth Solutions 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Himesh Shah, Analyst,Private Investor 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Saket Kapoor, Analyst,Kapoor and Company 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Vignesh Iyer, Analyst,Sequent Investments 
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Unidentified,Analyst,
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Rahul Agarwal , Analyst, InCred Capital 
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Sonali Salgaonkar , Analyst, Jefferies 
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Achal Lohade , Analyst, JM Financial Institutional Securities 
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Natasha Jain , Analyst, Nirmal Bang 
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Aniruddha Joshi , Analyst, ICICI Securities 
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Swati Jhunjhunwala , Analyst, BOB Capital Markets Limited 
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Keyur Pandya , Analyst, ICICI Prudential Life Insurance Company Limited 
EID Parry (India) Ltd (EIDPARRY) Q4 FY23 Earnings Concall Transcript,Karan Mehta , Analyst, Nirzar Securities 
EID Parry (India) Ltd (EIDPARRY) Q4 FY23 Earnings Concall Transcript,Neha Mehta , Analyst, DAM Capital Advisors Limited 
EID Parry (India) Ltd (EIDPARRY) Q4 FY23 Earnings Concall Transcript,Ritwik Sheth , Analyst, One Up Financial 
GRP Limited (GRP) Q4 FY23 Earnings Concall Transcript,Vivek Ganguly , Analyst, Nine Rivers Capital 
GRP Limited (GRP) Q4 FY23 Earnings Concall Transcript,Rohit Balakrishnan , Analyst, ithought PMS 
GRP Limited (GRP) Q4 FY23 Earnings Concall Transcript,Umang Shah , Analyst, India Bridge Capital 
GRP Limited (GRP) Q4 FY23 Earnings Concall Transcript,Ajay Surya , Analyst, Niveshaay 
GRP Limited (GRP) Q4 FY23 Earnings Concall Transcript,Akash Meta , Analyst, Capaz Investments 
GRP Limited (GRP) Q4 FY23 Earnings Concall Transcript,Rohit Potti , Analyst, Marshmallow Capital 
GRP Limited (GRP) Q4 FY23 Earnings Concall Transcript,Kanika Kothari , Analyst, Kothari Securities 
GRP Limited (GRP) Q4 FY23 Earnings Concall Transcript,Karthik Bhatt , Analyst, Individual Investor 
Punjab National Bank (PNB) Q4 FY23 Earnings Concall Transcript,Rakesh Kumar, Analyst,Batlivala & Karani Securities India Pvt. Ltd. 
Punjab National Bank (PNB) Q4 FY23 Earnings Concall Transcript,Ajmera, Analyst,
Punjab National Bank (PNB) Q4 FY23 Earnings Concall Transcript,Bhavik, Analyst,
Punjab National Bank (PNB) Q4 FY23 Earnings Concall Transcript,Jai Mundhra, Analyst,
Punjab National Bank (PNB) Q4 FY23 Earnings Concall Transcript,Sushil Choksey, Analyst,
Punjab National Bank (PNB) Q4 FY23 Earnings Concall Transcript,Ashlesh, Analyst,
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,Harsh Shah, Analyst,L&T Mutual Fund 
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,Deepak Lalwani, Analyst,Unifi Capital 
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,Amit Doshi, Analyst,Care PMS 
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,Tushar Verma, Analyst,
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,Sandesh, Analyst,
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,SB Bhaiya, Analyst,Individual Investor 
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,Niraj Mansingka, Analyst,White Pine Investment Management 
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,Rajesh Majumdar, Analyst,B&K Securities 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Vishal Periwal, Analyst,IDBI Capital Markets and Securities Ltd. 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Divya Daga, Analyst,Vijit Global Securities 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Vignesh Iyer, Analyst,Sequent Investments 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Pratap Maliwal, Analyst,Mount Intra Finance Private Limited 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Shubham Shukla, Analyst,Voyager Capital 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Amit Kumar, Analyst,Determined Investments 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Dhvani Shah, Analyst,Investec 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Nitin Gandhi, Analyst,KIFS Trade Capital 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Richa Shah, Analyst,Individual Investor 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Pranay Khandelwal, Analyst,Alpha Invesco 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Abhishek Mehra, Analyst,TIL Advisors 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Rahul Jain, Analyst,Credence Capital 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Vishal Prasad, Analyst,VP Capital 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Darshil Pandya, Analyst,Finterest Capital 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Ankit Gupta, Analyst,Bamboo Capital 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Dwanil Desai, Analyst,Turtle Capital 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Rajat Sethia, Analyst,ithoughtpms 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,S. Chatterjee, Analyst,Astra Capital 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Tarun Sancheti, Analyst,Sancheti Capital 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Rohit, Analyst,ithoughtpms 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Rushabh, Analyst,Equirus PMS 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Unidentified Participant, Analyst,
Cosmo First Ltd (COSMOFIRST) Q4 FY23 Earnings Concall Transcript,Shubham Agarwal, Analyst,Aequitas Investment Consultancy 
Cosmo First Ltd (COSMOFIRST) Q4 FY23 Earnings Concall Transcript,Sagar Shah, Analyst,PhillipCapital DCG 
Cosmo First Ltd (COSMOFIRST) Q4 FY23 Earnings Concall Transcript,Amit Agarwal, Analyst,Leeway Investments 
Cosmo First Ltd (COSMOFIRST) Q4 FY23 Earnings Concall Transcript,Harsh Mulchandani, Analyst,Kriis Portfolio 
Cosmo First Ltd (COSMOFIRST) Q4 FY23 Earnings Concall Transcript,Nirav Savai, Analyst,Abakkus Asset Management 
