question_by,question,answer_by,answer,ticker_cd,Org Name
question_by,question,answer_by,answer,ticker_cd,Org Name
Nishid Shah — Ambika Fincap — Analyst,"Yes. Thanks for taking my question. Congratulations on a very, very good set of numbers. My first question is relating to the Sephora. On the online side, I think one year back, we discussed about it that we should be seeing some initiative. So, can you elaborate on this? Now what’s the situation? And how do we see it going forward?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Hi, sir. The situation on Sephora is — there is a status quo there. And we don’t have anything incremental to add and it remains currently a very prestigious offline business selling mortgage brands to women consumers. We haven’t sort of launched a new online initiative as yet.",ARVINDFASN,ARVIND FASHIONS LTD 
Nishid Shah — Ambika Fincap — Analyst,"The experience at the store is excellent. In fact, it is much better than shopping at any of the international airport’s duty-free shops. So I was just wondering what is stopping us from launching Sephora online in India? It is there on nnnow.com. But if you have it as Sephora, it makes a whole lot of a difference. And there is a competition catching up with Nykaa and Reliance also launching on to it. I’m sure that it must be on the mind and you are working on it.",Kulin Lalbhai — Vice Chairman and Non-Executive Director,"We said this earlier as well, and this is one of the discussion points which we have with our partners. As Shailesh mentioned, we don’t have an update on that yet, but of course, it is an area which we are in constant discussions with the global Sephora team.",ARVINDFASN,ARVIND FASHIONS LTD 
Nishid Shah — Ambika Fincap — Analyst,"My second question is relating to the overall size and the direction, you are right now at about INR4,400 crores going by the normal growth rate that you would expect to achieve over the next three years, you will be almost $1 billion or maybe $1 billion-plus. Would you like to elaborate on that?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Nishid, we won’t sort of comment what our current strategy is to grow the brand’s profitability and we don’t see any change of strategy. We’ll continue to grow our business at 12% to 15% CAGR, that’s our guidance to the market. And we stick to that guidance that in the medium-term, all our growth engines are still firing beyond store expansion, building marketplace capability online, also continue to focus on sell-through and grow the like-to-like growth of our store. Our adjacent categories are doing well. So we will continue to grow the way we have grown in the last two years and wherever it takes, it takes — we will stick to our strategy.",ARVINDFASN,ARVIND FASHIONS LTD 
Nishid Shah — Ambika Fincap — Analyst,"Kulin, 12% to 15%, actually, 12% is the nominal GDP growth. If you look at 7% inflation and 6% to 7% growth, real growth, then we are talking about 13% to 14% nominal GDP growth. So if you say 12%, then you are going to actually be losing out on the market share. And you talked about so many initiatives, so many new category additions and all, then we should be at least aiming for at least 18% to 22% kind of a growth. Isn’t it?",Kulin Lalbhai — Vice Chairman and Non-Executive Director,"No, what you are saying is fair. I mean, if you look at our last few years, we have been growing fast, even adjusted for COVID and no decision we will take in the company will not maximize the growth potential. The only thing we will always do is we are wanting profitable growth where growth gets converted into very healthy operating cash flows. And you have been seeing how we have been delivering on that. So as long as we are able to grow with the healthy opportunity, there won’t be a stone unturned that the company will use every means possible to grow in a healthy fashion. Now with 15% as being our kind of median projection over the next three years, whether it is plus some percent points or minus percent points, depends on market conditions at that given point.",ARVINDFASN,ARVIND FASHIONS LTD 
Nishid Shah — Ambika Fincap — Analyst,"Kulin, 12% to 15%, actually, 12% is the nominal GDP growth. If you look at 7% inflation and 6% to 7% growth, real growth, then we are talking about 13% to 14% nominal GDP growth. So if you say 12%, then you are going to actually be losing out on the market share. And you talked about so many initiatives, so many new category additions and all, then we should be at least aiming for at least 18% to 22% kind of a growth. Isn’t it?",Kulin Lalbhai — Vice Chairman and Non-Executive Director,"But I think even the numbers which you have said, if the markets are very responsive even we have been growing at 18% in the past. I think what we want to be very clear about is that we want healthy growth in the company, and we will not take decisions to accelerate growth at the cost of strong bottom line and operating cash flows.",ARVINDFASN,ARVIND FASHIONS LTD 
Nishid Shah — Ambika Fincap — Analyst,Yes. Thanks a lot for good answer on that. I’ll get back into the queue. Thank you very much.,Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Thank you, sir.",ARVINDFASN,ARVIND FASHIONS LTD 
Darshil Jhaveri — Crown Capital — Analyst,"Hello. Good afternoon, sir, and thank you so much for taking my question. Firstly, sir, congratulations on a great set of results. Sir, with respect to our margins, now you finally consistent double-digit margin, so what kind of further leverage that we can see? Because we have a good adding of premium brands. So what would be our take in terms of our margins? Like we said you want to do it better, but some kind of a range that our target is maybe over the next two, three years?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"Yes. So on the margin side, I will say, first, the — what are the inputs that will drive our margins and then we can talk about some percentage. So if you look at a lot of our focus is on the operational rigor, efficiency. So we look at both the product side and the retail side margin improvement, so on the product side, improving full price sell-through, reducing discounting, buying better, a lot more focus on that side.",ARVINDFASN,ARVIND FASHIONS LTD 
Darshil Jhaveri — Crown Capital — Analyst,"Hello. Good afternoon, sir, and thank you so much for taking my question. Firstly, sir, congratulations on a great set of results. Sir, with respect to our margins, now you finally consistent double-digit margin, so what kind of further leverage that we can see? Because we have a good adding of premium brands. So what would be our take in terms of our margins? Like we said you want to do it better, but some kind of a range that our target is maybe over the next two, three years?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"And we see an opportunity to grow our margin on the product side. Also on the channel mix, we are looking at getting higher business from more profitable channels, and we’re also trying to reduce our discounting. So overall, the efficiency, the product rigor and the retail rigor offline/online, both is likely to give us some uptick in the gross margin. In addition to that, we have the second bucket of turning around profitability of some brands even more. So happy that Arrow has turned around in FY ’23 and has a very large EBITDA swing from FY ’22. So that’s helping grow the GP for AFL. And we see that both Arrow and Flying Machine need to higher scale, they’re a little soft scale currently. And as they go in their journey for bigger scale, we will also get more margin coming from that.",ARVINDFASN,ARVIND FASHIONS LTD 
Darshil Jhaveri — Crown Capital — Analyst,"Hello. Good afternoon, sir, and thank you so much for taking my question. Firstly, sir, congratulations on a great set of results. Sir, with respect to our margins, now you finally consistent double-digit margin, so what kind of further leverage that we can see? Because we have a good adding of premium brands. So what would be our take in terms of our margins? Like we said you want to do it better, but some kind of a range that our target is maybe over the next two, three years?",Shailesh Chaturvedi — Managing Director and Chief Executive Officer,"And the third side on the margin is the operating leverage. As we grow the scale like we have doubled our business in the last two years, and we continue to hopefully grow at market-leading growth rate, that will also flow into our additional margin EBITDA. So these are the broad sort of direction where the EBITDA is flowing. Now I talk to the specific guidance. See, we have a guidance for company that we need to grow our EBITDA close to 1.5% to 2% on an annual basis, that’s a minimum sort of guidance from our side. And we see that we will be able to continue to grow that space and if the markets are better, even at a higher pace.",ARVINDFASN,ARVIND FASHIONS LTD 
